Year,Software,Healthcare,Hardware,Biotech,Telecom,Manufacturing,Financial Products and Services,IT Services,Industrial/Energy,Retail,Media
2013-12-31,23.0,14.0,,11.0,,,7.0,,,7.0,16.0
2012-12-31,23.0,14.0,,11.0,,,,,7.0,12.0,7.0
2011-12-31,23.0,19.0,,13.0,,,,7.0,13.0,,5.0
2010-12-31,16.0,30.0,,15.0,,,,5.0,8.0,5.0,
2009-12-31,19.0,17.0,,8.0,,,5.0,,17.0,9.0,
2008-12-31,13.0,16.0,,11.0,,,,,8.0,12.0,7.0
2007-12-31,27.0,19.0,,12.0,,,,,8.0,6.0,5.0
2006-12-31,18.0,21.0,,18.0,,,6.0,,6.0,8.0,
2005-12-31,18.0,20.0,8.0,12.0,,,,6.0,6.0,,6.0
2004-12-31,22.0,16.0,10.0,10.0,6.0,,8.0,8.0,,7.0,
2003-12-31,26.0,13.0,12.0,11.0,5.0,12.0,,,,,
2002-12-31,40.0,14.0,5.0,5.0,5.0,,,,,,
