Date,Value
2019-12-31,1.7
2018-12-31,1.7
2017-12-31,1.7
2016-12-31,1.5
2015-12-31,1.247
2014-12-31,0.896
2013-12-31,1.601
2012-12-31,2.13
2011-12-31,2.498
2010-12-31,1.158
2009-12-31,0.226
2008-12-31,2.738
2007-12-31,2.285
2006-12-31,1.784
2005-12-31,1.92
2004-12-31,1.799
2003-12-31,1.022
2002-12-31,1.346
2001-12-31,1.904
2000-12-31,1.418
1999-12-31,0.626
1998-12-31,0.593
1997-12-31,1.542
1996-12-31,1.19
1995-12-31,1.733
1994-12-31,2.717
1993-12-31,4.476
1992-12-31,5.046
1991-12-31,3.474
1990-12-31,2.687
1989-12-31,2.778
1988-12-31,1.274
1987-12-31,0.242
1986-12-31,-0.125
1985-12-31,2.084
1984-12-31,2.396
1983-12-31,3.284
1982-12-31,5.256
1981-12-31,6.324
1980-12-31,5.447
